Spit,Lithics,Shellfish,Vertebrate,Plant,Baked_clay,Pottery,SQB_center_end_level,SQE_center_end_level,sq_e_cumul_depth_below_surface,sq_b_cumul_depth_below_surface,age
74,1.2300100930806326,0.005382976337333183,0.01727038241561063,0,0,0,5.1775,5.12,3.6300000000000003,3.588,11983.494
75,0.7495605138607166,0.025422582826233938,0,0,0,0,5.2275,5.17,3.68,3.638,12324.029
76,0.4413456321215411,0,0,0,0,0,5.2775,5.22,3.73,3.688,12929.608
77,0.9086480943428475,0.07297897795248676,0.01615108528456674,0,0,0,5.3275,5.27,3.78,3.737,13477.527
78,0.3450504006203153,0.012406306539157403,0,0,0,0,5.3774999999999995,5.319999999999999,3.8299999999999996,3.787,NA
79,0.027406599400054535,0,0.016771202617943824,0,0,0,5.427499999999999,5.369999999999999,3.8799999999999994,3.837,NA
80,0.05653170359052711,0,0.02813852813852813,0,0.012732365673542141,0,5.477499999999999,5.419999999999999,3.9299999999999993,3.887,NA
81,0.09787781350482314,0.008360128617363342,0,0,0,0,5.527499999999999,5.469999999999999,3.979999999999999,3.937,NA
82,0.02787738577212261,0.0063620589936379405,0.007750144592249855,0,0,0,5.577499999999999,5.519999999999999,4.029999999999999,3.987,NA
83,0.06219795954895292,0.08698764990155719,0.009307320565598711,0,0,0,5.627499999999999,5.5699999999999985,4.079999999999999,4.037,NA
